Features,r_dicho_MinMax,b_dicho_MinMax
Return_from_market,1,31
ROI,2,40
Sales_growth_rate,3,25
ROA,4,18
P_to_B,5,2
Operating_assets_Ratio,6,39
ROE,7,17
Cash_to_total_assets_ratio,8,34
EPS,9,35
P_to_S,10,26
Net_profit_margin,11,24
Operating_profit_margin,12,45
DuPont_Ratio,13,1
Profit_margin_before_interest_and_taxes,14,30
Operating_cash_flow_to_sales,15,3
DPS,16,33
Gross_profit_margin,17,16
Debt_to_equity_ratio,18,12
Equity_Ratio,19,14
Sale_to_current_assets,20,15
Total_income_growth,21,42
Current_assets_ratio,22,21
Net_profit_to_sale,23,7
Stock_market_value,24,11
Net_profit_to_Gross_profit,25,4
Fixed_asset_turnover,26,20
EPS_growth,27,43
Operating_profit_to_sale,28,5
Return_ratio_without_risk,29,38
Profit_margin_growth_rate,30,23
Net_working_capital,31,10
Liquidity_ratios,32,22
P_to_E,33,32
Quick_Ratio,34,9
Working_capital_return,35,44
Current_ratio,36,6
Capital,37,8
Average_payment_period,38,37
Total_asset_turnover,39,29
Cost_to_sales_ratio,40,13
Debt_to_total_assets_ratio,41,41
Net_return_on_working_capital,42,28
Longterm_debt_to_equity_ratio,43,19
Current_debt_to_total_debt_Ratio,44,27
Cash_flow_returns_to_sales,45,36
